Clint Eastwood,70118779
Joe Boyd,653673
Jeffrey W. Byrd,70020947
Scott Stewart,70117305
Alfonso Arau,701346
Ellen Weissbrod,70111489
Michael Anderson,709163
Stanley Kubrick,709380
Theodore Witcher,1150871
Callie Khouri,70082264
Brett Ratner,1179583
Gil Kenan,70044595
Lewis Milestone,60011729
Jared Hess,70044883
Gene Quintano,22497725
Lewis Milestone,60021590
Charles Stone III,60023638
Nicholas Ray,70031792
Sam Mendes,70100383
Roman Polanski,60002403
John Dahl,17236920
Stanley Tong,923574
Blayne Weaver,81152930
Billy Bob Thornton,973861
Sam O'Steen,70058796
Sam Raimi,70047101
David Fairhead,81189396
Adam McKay,70093991
Gordon Parks,60033247
Neil Jordan,70060000
John Stephenson,70295067
Norman Jewison,70031779
David Fincher,1178866
John Dahl,60033312
Manolo Caro,81030409
David Michôd,80182016
Tony Scott,684847
Marco Bonfanti,81150305
Lilly Wachowski,20557937
Lilly Wachowski,60027695
Lilly Wachowski,60031303
Everardo González,81170692
Alan J. Pakula,848915
Kevin Donovan,60022980
Charlotte Zwerin,60003961
Pete Travis,70060005
Nick Moore,70084791
Rodrigo Guardiola,81170694
Ruben Fleischer,70123542
Neeraj Pandey,70107499
Indrajit Nattoji,70123117
Raj Kumar Gupta,70100644
Remo D'Souza,80057750
Remo D'Souza,70229045
Arnab Chaudhuri,70139073
Rana Ranbir,81024731
