0,1,TV Show,BONDING,9/22/2019,2019,TV-MA,A New York City grad student moonlighting as a dominatrix enlists her gay BFF from high school to be her assistant.,81004814
121,0,Movie,Do Paise Ki Dhoop Chaar Aane Ki Baarish,9/22/2019,2009,TV-14,"When a sex worker hires a gay songwriter to care for her disabled son, the ensuing bonds that form offer a complex portrayal of love and family.",81080769
91,0,Movie,20 Feet From Stardom,9/22/2018,2013,PG-13,"Winner of the 2014 Academy Award for Best Documentary Feature, this film takes a look at the world of backup vocalists and the legends they support.",70267838
101,0,Movie,In Darkness,9/22/2018,2018,TV-MA,"A blind pianist fears for her life after the suspicious death of her neighbor, the daughter of a businessman accused of war crimes.",80211380
101,0,Movie,Gaga: Five Foot Two,9/22/2017,2017,TV-MA,"Follow pop provocateur Lady Gaga as she releases a new album, preps for her Super Bowl halftime show, and confronts physical and emotional struggles.",80196586
119,0,Movie,The Bad Batch,9/22/2017,2016,R,"Banished to a wasteland of undesirables, a young woman struggles to find her feet among a drug-soaked desert society and an enclave of cannibals.",80099204
83,0,Movie,SMOSH: The Movie,9/22/2015,2015,PG-13,"To keep his teen crush from spotting him in an embarrassing YouTube video, Anthony and his friend Ian must enter the virtual world and alter the clip.",80059432
182,0,Movie,King of Boys,9/21/2019,2018,TV-MA,"When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything.",81172721
106,0,Movie,Merry Men: The Real Yoruba Demons,9/21/2019,2018,TV-MA,"Four of the richest bachelors in Abuja, Nigeria enjoy a life of fast cars, palatial homes and female attention while concealing their true activities.",81172727
102,0,Movie,Sarah's Key,9/21/2019,2010,PG-13,"Paris, 1942: To protect her brother from the police arresting Jewish families, a young girl hides him away, promising to come back for him.",70153543
98,0,Movie,The Wedding Party 2: Destination Dubai,9/21/2019,2017,TV-14,"In this sequel to the 2016 hit ""The Wedding Party,"" a couple's date night ends in an accidental proposal, sparking a series of chaotic family events.",81172728
0,1,TV Show,Vagabond,9/21/2019,2019,TV-MA,"When his nephew dies in a plane crash, stunt man Cha Dal-geon resolves to find out what happened, with the help of covert operative Go Hae-ri.",81095101
0,1,TV Show,Battlefish,9/21/2018,2018,TV-MA,"Over the course of a fishing season, tough men and women pursue lucrative albacore tuna in the competitive waters off the Oregon coast.",80195173
0,1,TV Show,DRAGON PILOT: Hisone & Masotan,9/21/2018,2018,TV-14,Recently stationed Air Self-Defense Force rookie Hisone Amakasu is chosen by a dragon concealed within Gifu Air Base to be his pilot.,80241960
0,1,TV Show,Hilda,9/21/2018,2018,TV-Y7,"Fearless, free-spirited Hilda finds new friends, adventure and magical creatures when she leaves her enchanted forest home and journeys to the city.",80115346
0,1,TV Show,Maniac,9/21/2018,2018,TV-MA,Two struggling strangers connect during a mind-bending pharmaceutical trial involving a doctor with mother issues and an emotionally complex computer.,80124522
124,0,Movie,Quincy,9/21/2018,2018,TV-MA,"This documentary profiles music and culture icon Quincy Jones, offering unprecedented access to his private life and stories from his unparalleled career.",80102952
63,0,Movie,Rafinha Bastos: Ultimatum,9/21/2018,2018,TV-MA,"An off-color joke nearly cost him everything. Brazilian comic Rafinha Bastos talks about that and much more, from his divorce to finding love again.",80214464
0,1,TV Show,The Good Cop,9/21/2018,2018,TV-PG,"When he's not solving murders, a pathologically honest detective tries to keep an eye on his crooked but kindhearted dad.",80157073
83,0,Movie,Between Two Ferns: The Movie,9/20/2019,2019,TV-MA,"Armed with awkward questions and zero self-awareness, Zach Galifianakis hits the road to find famous interview subjects for his no-budget talk show.",80243600
0,1,TV Show,Criminal: France,9/20/2019,2019,TV-MA,"Secrets emerge and entire cases unravel inside a police interview room in Paris, where suspects and investigators face off in an intricate dance.",81020513
0,1,TV Show,Criminal: Germany,9/20/2019,2019,TV-MA,"In the interview room, detectives go head-to-head with suspects and try to get to the truth – even if it means breaking the rules and risking it all.",81020518
0,1,TV Show,Criminal: Spain,9/20/2019,2019,TV-MA,"Psychological games abound between detectives and suspects in a tense interrogation room, where the search for answers sometimes comes at a moral cost.",81020523
0,1,TV Show,Criminal: UK,9/20/2019,2019,TV-MA,"Within the walls of an interrogation room and with time running out, London investigators go after three suspects, each accused of a grievous crime.",80216172
82,0,Movie,Daddy Issues,9/20/2019,2019,TV-MA,"Maya finally hooks up with her online dream girl, only to discover she’s deeply involved with an older sugar daddy – a man Maya knows all too well.",81122669
0,1,TV Show,Inside Bill's Brain: Decoding Bill Gates,9/20/2019,2019,TV-14,Take a trip inside the mind of Bill Gates as the billionaire opens up about those who influenced him and the audacious goals he's still pursuing.,80184771
